,id,timestamp,seq_number,ignition,ignition_filled,odometer_m,pos,fuel_%,prev_pos,current_lat,current_lon,prev_lat,prev_lon,current_loc,prev_loc,gps_distance,prev_od,od_distance,prev_timestamp,timediff,prev_fill_ignition,new_trip
0,334457,2024-01-01 10:00:00,1,1,1,1.25,"(53.679305,-7.297454)",100.0,,53.679305,-7.297454,,,"(53.679305, -7.297454)",,,,,,,,1
1,334457,2024-01-01 10:02:13,1,1,1,2.5,"(53.670328,-7.308877)",,"(53.679305,-7.297454)",53.670328,-7.308877,53.679305,-7.297454,"(53.670328, -7.308877)","(53.679305, -7.297454)",1252.2509391483352,1.25,1250.0,2024-01-01 10:00:00,133.0,1.0,0
2,334457,2024-01-01 10:03:53,1,1,1,3.75,"(53.661352,-7.3203)",,"(53.670328,-7.308877)",53.661352,-7.3203,53.670328,-7.308877,"(53.661352, -7.3203)","(53.670328, -7.308877)",1252.2576853498065,2.5,1250.0,2024-01-01 10:02:13,100.0,1.0,0
3,334457,2024-01-01 10:06:11,1,1,1,5.0,"(53.652375,-7.331723)",,"(53.661352,-7.3203)",53.652375,-7.331723,53.661352,-7.3203,"(53.652375, -7.331723)","(53.661352, -7.3203)",1252.442019370624,3.75,1250.0,2024-01-01 10:03:53,138.0,1.0,0
4,334457,2024-01-01 10:06:22,1,1,1,6.25,"(53.643399,-7.343146)",,"(53.652375,-7.331723)",53.643399,-7.343146,53.652375,-7.331723,"(53.643399, -7.343146)","(53.652375, -7.331723)",1252.4487833742598,5.0,1250.0,2024-01-01 10:06:11,11.0,1.0,0
5,334457,2024-01-01 10:08:17,1,1,1,7.5,"(53.634422,-7.35457)",,"(53.643399,-7.343146)",53.634422,-7.35457,53.643399,-7.343146,"(53.634422, -7.35457)","(53.643399, -7.343146)",1252.6730023722725,6.25,1250.0,2024-01-01 10:06:22,115.0,1.0,0
6,334457,2024-01-01 10:10:10,1,1,1,8.75,"(53.625445,-7.365993)",,"(53.634422,-7.35457)",53.625445,-7.365993,53.634422,-7.35457,"(53.625445, -7.365993)","(53.634422, -7.35457)",1252.728658910749,7.5,1250.0,2024-01-01 10:08:17,113.0,1.0,0
7,334457,2024-01-01 10:11:09,1,1,1,10.0,"(53.616469,-7.377416)",,"(53.625445,-7.365993)",53.616469,-7.377416,53.625445,-7.365993,"(53.616469, -7.377416)","(53.625445, -7.365993)",1252.735449533248,8.75,1250.0,2024-01-01 10:10:10,59.0,1.0,0
8,334457,2024-01-01 10:11:57,1,1,1,11.25,"(53.607492,-7.388839)",,"(53.616469,-7.377416)",53.607492,-7.388839,53.616469,-7.377416,"(53.607492, -7.388839)","(53.616469, -7.377416)",1252.9197575263433,10.0,1250.0,2024-01-01 10:11:09,48.0,1.0,0
9,334457,2024-01-01 10:14:21,1,1,1,12.5,"(53.598515,-7.400262)",,"(53.607492,-7.388839)",53.598515,-7.400262,53.607492,-7.388839,"(53.598515, -7.400262)","(53.607492, -7.388839)",1253.015314869161,11.25,1250.0,2024-01-01 10:11:57,144.0,1.0,0
